Race Date,Race Time,Meeting,Horse Name
2025-04-16,11:40,HAP,Soul Dance
2025-04-16,3:25,BEV,Sovereign Class
2025-04-16,5:07,BEV,Spanish Voice
2025-04-16,4:45,NMK,Sparkling Wine
2025-04-16,1:40,BEV,Speedy Fortune
2025-04-16,11:40,HAP,Spelling Test
2025-04-16,2:32,GOW,Spicy So Smart
2025-04-16,11:40,HAP,Spirit Of Applause
2025-04-16,2:50,BEV,Spirits Bay
2025-04-16,2:05,CHL,Spy Kingdom
2025-04-16,2:25,NMK,Spycraft
2025-04-16,1:57,GOW,Stanage
2025-04-16,5:20,NMK,Star Mind
2025-04-16,4:17,GOW,Star Walking
2025-04-16,5:45,FFO,Stardinia
2025-04-16,1:40,BEV,Stardrop
2025-04-16,4:45,NMK,Steel Magnolia
2025-04-16,3:42,GOW,Stellenbosch
2025-04-16,4:10,NMK,Stiorra
2025-04-16,4:52,GOW,Storm Averted
2025-04-16,4:17,GOW,Stormi
2025-04-16,12:40,HAP,Storming Dragon
2025-04-16,2:10,HAP,Strong Foundations
2025-04-16,2:05,CHL,Sturdy Ruby
2025-04-16,3:50,HAP,Summer Snow
2025-04-16,4:52,GOW,Sunday's Serenade
2025-04-16,1:40,HAP,Super Exceed
2025-04-16,4:17,GOW,Super Survivor
2025-04-16,3:50,CHL,Sure Joyful
2025-04-16,12:40,HAP,Suzette
2025-04-16,5:07,BEV,Swagger Bro
2025-04-16,2:45,HAP,Sweet Briar
2025-04-16,1:10,HAP,Swiss Lightning
2025-04-16,4:10,NMK,Ten Pounds
2025-04-16,5:20,NMK,The Auspicious
2025-04-16,1:40,HAP,The Bog Bank
2025-04-16,4:52,GOW,The Dragon King
2025-04-16,1:50,NMK,The Dream Goes On
2025-04-16,6:15,FFO,The Long Walk
2025-04-16,1:30,CHL,The Waco Kid
2025-04-16,3:35,NMK,The Watcher
2025-04-16,3:35,NMK,Thesis
2025-04-16,12:40,HAP,Time For Dessert
2025-04-16,3:25,BEV,Timeonourside
2025-04-16,4:52,GOW,Toad Hall
2025-04-16,1:30,CHL,Top Bins
2025-04-16,5:07,BEV,Top Peak
2025-04-16,3:15,HAP,Touted Plan
2025-04-16,3:07,GOW,Trilby
2025-04-16,2:15,BEV,Triple Nickle
2025-04-16,7:45,FFO,Trojan Soldier
2025-04-16,4:00,BEV,True Friend
2025-04-16,3:07,GOW,True Promise
2025-04-16,2:50,BEV,Truly Fluke
2025-04-16,12:40,HAP,Try The Money
2025-04-16,7:15,FFO,Two B Tanned
2025-04-16,5:37,BEV,Typhoon Flyer
2025-04-16,2:05,CHL,Uluwatu
2025-04-16,3:42,GOW,Uncle Albert
2025-04-16,4:52,GOW,Undersupervision
2025-04-16,3:15,CHL,Unterberg
2025-04-16,4:52,GOW,Up With Charm
2025-04-16,2:10,HAP,Urban Triumph
2025-04-16,11:40,HAP,Valedictory
2025-04-16,4:45,NMK,Valirann Gold
2025-04-16,3:15,CHL,Valleres
2025-04-16,3:15,CHL,Vesperado
2025-04-16,5:07,BEV,Victor Haze
2025-04-16,7:45,FFO,Victoria Kesia
2025-04-16,4:17,GOW,Voice Of Northeast
2025-04-16,3:42,GOW,Von Baer
2025-04-16,12:40,HAP,Wah May Wai Wai
2025-04-16,12:40,HAP,Walking On Glass
2025-04-16,5:27,GOW,Warriors Dream
2025-04-16,1:10,HAP,Wasittheway
2025-04-16,3:42,GOW,Way Out
2025-04-16,5:00,CHL,Weegeebear
2025-04-16,3:42,GOW,West To The Bridge
